iter	Passed	Remaining
0	1	103
1	2	101
2	3	98
3	3	93
4	4	91
5	5	88
6	6	86
7	7	85
8	8	85
9	9	83
10	10	82
11	11	81
12	11	79
13	12	78
14	13	77
15	14	75
16	15	74
17	16	73
18	16	72
19	17	71
20	18	70
21	19	69
22	20	69
23	21	67
24	22	66
25	23	65
26	23	64
27	24	63
28	25	63
29	26	62
30	27	60
31	28	59
32	29	58
33	29	57
34	30	56
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	35	51
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	33
61	53	33
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	58	27
68	59	26
69	60	25
70	61	25
71	62	24
72	63	23
73	64	22
74	64	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	71	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	76	10
88	77	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	83	2
97	84	1
98	85	0
99	86	0
