iter	Passed	Remaining
0	9	9010
1	15	7659
2	22	7340
3	28	7104
4	35	7013
5	42	6974
6	48	6856
7	55	6881
8	61	6802
9	67	6724
10	76	6869
11	83	6852
12	90	6834
13	95	6727
14	102	6715
15	109	6749
16	116	6738
17	123	6744
18	129	6699
19	135	6662
20	142	6658
21	150	6691
22	156	6640
23	164	6691
24	169	6600
25	173	6481
26	176	6366
27	179	6232
28	182	6105
29	184	5970
30	186	5843
31	189	5718
32	191	5617
33	193	5509
34	195	5394
35	197	5289
36	199	5184
37	200	5086
38	202	4993
39	204	4904
40	206	4825
41	208	4750
42	210	4674
43	211	4600
44	213	4531
45	215	4464
46	217	4404
47	219	4344
48	220	4284
49	222	4235
50	224	4182
51	226	4131
52	228	4086
53	230	4039
54	232	3993
55	234	3946
56	236	3904
57	238	3867
58	239	3824
59	241	3783
60	243	3747
61	245	3709
62	247	3673
63	248	3640
64	250	3606
65	252	3579
66	254	3547
67	256	3514
68	258	3482
69	259	3450
70	261	3423
71	263	3395
72	265	3367
73	267	3346
74	269	3323
75	271	3296
76	272	3271
77	274	3246
78	276	3221
79	277	3196
80	280	3176
81	281	3154
82	283	3136
83	285	3115
84	287	3094
85	289	3073
86	291	3054
87	292	3034
88	294	3015
89	296	2998
90	299	2988
91	301	2970
92	302	2953
93	304	2935
94	306	2918
95	308	2901
96	310	2886
97	311	2868
98	314	2858
99	316	2845
100	318	2836
101	320	2821
102	322	2810
103	324	2796
104	326	2782
105	329	2775
106	331	2762
107	332	2748
108	334	2736
109	336	2724
110	338	2710
111	340	2696
112	341	2684
113	344	2674
114	345	2662
115	347	2649
116	349	2637
117	351	2625
118	353	2613
119	354	2601
120	356	2590
121	358	2578
122	360	2569
123	361	2556
124	363	2546
125	365	2535
126	367	2524
127	369	2514
128	370	2504
129	372	2494
130	374	2486
131	376	2476
132	378	2466
133	380	2456
134	382	2448
135	383	2439
136	385	2429
137	386	2414
138	388	2404
139	389	2392
140	391	2385
141	393	2377
142	395	2369
143	397	2360
144	399	2352
145	400	2344
146	402	2336
147	404	2328
148	406	2321
149	408	2314
150	410	2305
151	411	2298
152	413	2289
153	415	2281
154	417	2273
155	418	2266
156	420	2260
157	422	2252
158	424	2244
159	426	2237
160	427	2229
161	429	2223
162	431	2216
163	433	2208
164	435	2204
165	437	2197
166	439	2191
167	441	2184
168	442	2178
169	444	2171
170	446	2164
171	448	2157
172	449	2151
173	451	2145
174	453	2138
175	455	2131
176	457	2125
177	458	2118
178	460	2112
179	462	2106
180	464	2100
181	466	2098
182	468	2092
183	470	2086
184	472	2080
185	473	2073
186	475	2067
187	477	2062
188	479	2056
189	481	2053
190	483	2048
191	485	2041
192	487	2036
193	488	2030
194	490	2024
195	492	2019
196	494	2014
197	496	2010
198	498	2005
199	499	1999
200	501	1994
201	503	1989
202	505	1983
203	506	1978
204	508	1971
205	510	1966
206	512	1962
207	513	1957
208	515	1951
209	517	1946
210	519	1941
211	520	1936
212	522	1931
213	524	1926
214	526	1922
215	528	1917
216	529	1912
217	531	1907
218	533	1902
219	535	1897
220	537	1892
221	538	1887
222	540	1882
223	542	1879
224	544	1875
225	546	1870
226	547	1865
227	549	1860
228	551	1856
229	552	1851
230	554	1846
231	556	1841
232	558	1837
233	560	1833
234	561	1828
235	563	1823
236	565	1819
237	566	1814
238	568	1810
239	570	1806
240	572	1803
241	574	1799
242	576	1795
243	578	1791
244	579	1786
245	581	1782
246	583	1778
247	585	1774
248	587	1771
249	589	1767
250	591	1763
251	592	1759
252	594	1755
253	596	1751
254	598	1747
255	600	1743
256	601	1739
257	603	1736
258	605	1732
259	607	1729
260	608	1723
261	610	1719
262	611	1714
263	613	1711
264	615	1707
265	617	1704
266	619	1701
267	621	1697
268	623	1693
269	624	1689
270	626	1685
271	628	1681
272	629	1677
273	631	1673
274	633	1671
275	635	1667
276	637	1664
277	639	1660
278	640	1656
279	642	1652
280	644	1649
281	646	1645
282	648	1642
283	650	1639
284	651	1635
285	653	1632
286	655	1628
287	657	1624
288	659	1621
289	660	1618
290	662	1613
291	664	1611
292	666	1608
293	668	1604
294	669	1600
295	671	1597
296	673	1593
297	675	1590
298	676	1586
299	678	1584
300	681	1581
301	682	1577
302	684	1574
303	686	1571
304	688	1568
305	690	1565
306	691	1561
307	694	1559
308	696	1556
309	698	1553
310	700	1550
311	701	1547
312	703	1544
313	705	1541
314	707	1538
315	709	1536
316	711	1533
317	713	1529
318	715	1526
319	717	1524
320	719	1521
321	720	1517
322	722	1514
323	724	1512
324	726	1509
325	728	1506
326	730	1503
327	732	1500
328	733	1496
329	735	1493
330	737	1490
331	739	1487
332	741	1485
333	743	1482
334	745	1479
335	746	1476
336	748	1472
337	750	1469
338	752	1466
339	755	1466
340	757	1464
341	759	1460
342	761	1458
343	762	1454
344	764	1451
345	766	1448
346	768	1445
347	770	1444
348	772	1441
349	774	1437
350	776	1435
351	777	1432
352	779	1429
353	781	1426
354	783	1423
355	785	1421
356	787	1418
357	789	1415
358	790	1412
359	792	1409
360	794	1406
361	796	1403
362	798	1400
363	800	1398
364	802	1395
365	804	1393
366	805	1389
367	807	1386
368	809	1384
369	811	1382
370	813	1379
371	815	1377
372	817	1374
373	819	1371
374	821	1368
375	822	1365
376	824	1362
377	826	1359
378	828	1357
379	830	1355
380	832	1352
381	834	1349
382	836	1346
383	837	1343
384	839	1341
385	841	1338
386	842	1335
387	844	1332
388	847	1330
389	849	1328
390	850	1325
391	852	1322
392	854	1319
393	856	1317
394	857	1314
395	859	1311
396	861	1309
397	863	1306
398	865	1303
399	867	1301
400	869	1298
401	871	1295
402	872	1293
403	874	1290
404	877	1288
405	879	1286
406	880	1283
407	882	1280
408	884	1278
409	886	1275
410	888	1272
411	889	1270
412	892	1268
413	894	1265
414	896	1263
415	897	1260
416	899	1257
417	901	1255
418	903	1252
419	904	1249
420	907	1247
421	908	1244
422	910	1242
423	912	1239
424	914	1237
425	916	1234
426	918	1232
427	920	1229
428	922	1227
429	924	1225
430	925	1222
431	927	1219
432	929	1217
433	931	1214
434	933	1212
435	935	1209
436	937	1207
437	939	1205
438	941	1202
439	942	1199
440	944	1197
441	946	1194
442	948	1192
443	950	1190
444	952	1187
445	954	1185
446	956	1182
447	957	1180
448	960	1178
449	961	1175
450	963	1173
451	965	1170
452	967	1168
453	969	1165
454	971	1163
455	973	1161
456	974	1158
457	976	1155
458	978	1153
459	980	1151
460	982	1148
461	984	1146
462	986	1144
463	988	1141
464	989	1139
465	991	1136
466	993	1133
467	994	1131
468	996	1128
469	999	1126
470	1000	1124
471	1002	1121
472	1004	1119
473	1006	1116
474	1008	1114
475	1009	1111
476	1011	1109
477	1013	1107
478	1015	1105
479	1017	1102
480	1019	1099
481	1020	1097
482	1022	1094
483	1024	1092
484	1026	1089
485	1028	1088
486	1031	1086
487	1033	1083
488	1034	1081
489	1036	1079
490	1038	1076
491	1040	1074
492	1042	1071
493	1045	1070
494	1046	1068
495	1048	1065
496	1050	1063
497	1052	1060
498	1053	1058
499	1055	1055
500	1057	1053
501	1059	1051
502	1061	1049
503	1063	1046
504	1065	1044
505	1067	1041
506	1069	1039
507	1071	1037
508	1072	1034
509	1074	1032
510	1076	1030
511	1078	1027
512	1080	1025
513	1082	1023
514	1085	1021
515	1087	1019
516	1089	1018
517	1091	1015
518	1093	1013
519	1095	1011
520	1097	1008
521	1099	1006
522	1100	1004
523	1102	1001
524	1104	999
525	1106	997
526	1108	995
527	1110	992
528	1111	990
529	1113	987
530	1115	985
531	1117	982
532	1119	980
533	1121	978
534	1123	976
535	1125	973
536	1126	971
537	1128	969
538	1130	967
539	1132	964
540	1134	962
541	1137	961
542	1139	958
543	1141	956
544	1142	954
545	1144	951
546	1146	949
547	1148	947
548	1150	945
549	1152	942
550	1153	940
551	1155	937
552	1157	935
553	1159	933
554	1160	930
555	1162	928
556	1164	926
557	1167	924
558	1168	922
559	1170	919
560	1172	917
561	1174	915
562	1176	912
563	1177	910
564	1179	908
565	1181	906
566	1184	904
567	1185	901
568	1187	899
569	1189	897
570	1191	894
571	1192	892
572	1194	890
573	1197	888
574	1199	886
575	1200	883
576	1202	881
577	1204	879
578	1206	877
579	1208	874
580	1210	872
581	1212	870
582	1214	868
583	1216	866
584	1217	864
585	1219	861
586	1221	859
587	1223	857
588	1225	855
589	1229	854
590	1231	852
591	1232	849
592	1234	847
593	1236	845
594	1238	842
